Order_ID,Order_Date,Ship_Date,Region,Country,State,Category,Sub_Category,Customer_Segment,Sales,Quantity,Discount,Profit
AMZ100000,2023-04-13,2023-10-02,North,India,Telangana,Books,Fiction,Corporate,953.69,5,0.05,95.37
AMZ100001,2023-12-15,2023-04-07,Central,India,Maharashtra,Home & Kitchen,Laptops,Small Business,10469.26,7,0.37,-2303.24
AMZ100002,2023-09-28,2023-08-16,West,India,Kerala,Beauty,Furniture,Small Business,47971.7,8,0.07,3837.74
AMZ100003,2023-04-17,2023-02-09,East,India,Telangana,Home & Kitchen,Cookware,Small Business,30863.39,9,0.03,3703.61
AMZ100004,2023-03-13,2023-10-30,Central,India,Gujarat,Books,Clothing,Consumer,13452.73,6,0.49,-4573.93
AMZ100005,2023-07-08,2023-01-30,West,India,Tamil Nadu,Home & Kitchen,Fiction,Corporate,3816.06,9,0.48,-1259.3
AMZ100006,2023-01-21,2023-11-15,East,India,Tamil Nadu,Beauty,Mobiles,Consumer,1895.47,8,0.03,227.46
AMZ100007,2023-04-13,2023-09-03,North,India,Karnataka,Electronics,Fiction,Corporate,12614.88,9,0.22,-883.04
AMZ100008,2023-05-02,2023-08-25,West,India,Maharashtra,Beauty,Footwear,Corporate,44133.55,4,0.09,2648.01
AMZ100009,2023-08-03,2023-07-05,East,India,Gujarat,Electronics,Skincare,Consumer,21087.73,9,0.24,-1897.9
AMZ100010,2023-11-27,2023-09-30,North,India,Kerala,Fashion,Furniture,Small Business,36156.5,7,0.42,-9762.26
AMZ100011,2023-03-29,2023-08-25,Central,India,Tamil Nadu,Beauty,Footwear,Corporate,45955.11,5,0.48,-15165.19
AMZ100012,2023-04-10,2023-08-28,Central,India,Tamil Nadu,Beauty,Cookware,Small Business,20698.0,5,0.32,-3518.66
AMZ100013,2023-12-26,2023-09-24,Central,India,Gujarat,Books,Mobiles,Consumer,9968.23,1,0.18,-299.05
AMZ100014,2023-06-01,2023-12-26,Central,India,Telangana,Home & Kitchen,Furniture,Small Business,26097.34,2,0.3,-3914.6
AMZ100015,2023-05-11,2023-12-07,South,India,Telangana,Electronics,Cookware,Corporate,45450.14,3,0.16,-454.5
